timestamp,distance_cm,light_adc
2026-09-09 14:00:00,120.0,80
2026-09-09 14:00:01,110.0,90
2026-09-09 14:00:02,95.0,110
2026-09-09 14:00:03,75.0,130
2026-09-09 14:00:04,60.1,160
2026-09-09 14:00:05,60.0,179
2026-09-09 14:00:06,45.0,180
2026-09-09 14:00:07,30.1,181
2026-09-09 14:00:08,30.0,192
2026-09-09 14:00:09,24.8,200
2026-09-09 14:00:10,15.0,220
2026-09-09 14:00:11,20.0,255
2026-09-09 14:00:12,29.9,210
2026-09-09 14:00:13,35.0,190
2026-09-09 14:00:14,50.0,180
2026-09-09 14:00:15,65.0,179
2026-09-09 14:00:16,85.0,140
2026-09-09 14:00:17,100.0,100
2026-09-09 14:00:18,120.0,50
2026-09-09 14:00:19,150.0,0
